question,votes,tags
What does the “yield” keyword do?,11024,python iterator generator yield coroutine
What does if __name__ == “__main__”: do?,6701,python namespaces main python-module idioms
Does Python have a ternary conditional operator?,6558,python operators ternary-operator conditional-operator
What are metaclasses in Python?,6099,python oop metaclass python-class python-datamodel
How do I check whether a file exists without exceptions?,6065,python file file-exists
How do I merge two dictionaries in a single expression (taking union of dictionaries)?,5537,python dictionary merge
How to execute a program or call a system command from Python,5229,python shell terminal subprocess command
How can I safely create a nested directory?,4648,python exception path directory operating-system
Accessing the index in 'for' loops?,4022,python loops list
How to make a flat list out of a list of lists?,3970,python list multidimensional-array flatten
Difference between staticmethod and classmethod,3881,python oop methods python-decorators
Understanding slice notation,3753,python list slice iterable
Does Python have a string 'contains' substring method?,3596,python string substring contains
Finding the index of an item in a list,3562,python list indexing
How do I list all files of a directory?,3467,python directory
Iterating over dictionaries using 'for' loops,3454,python dictionary
How do I sort a dictionary by value?,3418,python sorting dictionary
Using global variables in a function,3339,python global-variables scope
How do I check if a list is empty?,3231,python list
How to get the current time in Python,3196,python datetime time
What is the difference between Python's list methods append and extend?,3114,python list data-structures append extend
Catch multiple exceptions in one line (except block),3094,python exception exception-handling
What is the difference between __str__ and __repr__?,2976,python magic-methods repr
How can I add new keys to a dictionary?,2937,python dictionary lookup
How can I make a time delay in Python? [duplicate],2895,python python-3.x delay sleep timedelay
How do I concatenate two lists in Python?,2875,python list concatenation
How can a file be copied?,2874,python file copy filesystems file-copying
How to make function decorators and chain them together?,2873,python decorator python-decorators
How do I pass a variable by reference?,2836,python reference parameter-passing pass-by-reference
List changes unexpectedly after assignment. Why is this and how to prevent it?,2810,python list reference copy clone
“Least Astonishment” and the Mutable Default Argument,2810,python language-design default-parameters least-astonishment
Convert bytes to a string,2797,python string python-3.x
Understanding Python super() with __init__() methods [duplicate],2731,python class oop inheritance super
Check if a given key already exists in a dictionary,2681,python dictionary
What is __init__.py for?,2679,python module package python-packaging
How to iterate over rows in a DataFrame in Pandas,2618,python pandas dataframe
What does ** (double star/asterisk) and * (star/asterisk) do for parameters?,2618,python syntax parameter-passing variadic-functions argument-unpacking
How can I install pip on Windows?,2609,python windows installation pip easy-install
How do you split a list into evenly sized chunks?,2507,python list split chunks
Manually raising (throwing) an exception in Python,2490,python exception
How to delete a file or folder?,2466,python file-io directory delete-file
Find current directory and file's directory [duplicate],2454,python directory
How to select rows from a DataFrame based on column values,2443,python pandas dataframe
How do you change the size of figures drawn with matplotlib?,2442,python graph matplotlib plot visualization
How to access environment variable values?,2429,python environment-variables
